#{"t_start": 1777057442.656435, "env_id": "None"}
r,l,t
-265.314552,1000,0.66675
-585.889486,1000,0.757972
-484.689138,1000,1.133888
-553.391751,1000,1.221172
-566.620941,1000,1.56424
-479.07793,1000,1.652356
-307.398232,1000,1.996852
-557.784799,1000,2.084712
-191.528707,1000,2.429414
-193.665854,1000,2.517743
-436.955698,1000,2.868296
-549.369321,1000,2.957058
-489.309597,1000,3.304043
-341.221491,1000,3.391678
-643.896098,1000,3.754001
-158.829345,1000,3.841223
-577.538181,1000,4.194414
-690.28522,1000,4.28226
-385.935973,1000,4.63169
-284.770711,1000,4.720281
-804.949666,1000,5.066957
-585.189658,1000,5.154638
-353.2443,1000,5.50509
-418.233877,1000,5.596247
-784.977674,1000,5.944008
-595.963827,1000,6.032417
-492.815951,1000,6.382525
-223.912849,1000,6.469216
-635.069506,1000,6.818427
-441.839354,1000,6.906802
-387.296782,1000,7.255066
-153.340599,1000,7.341737
-285.869512,1000,7.690596
-238.995136,1000,7.77867
-479.371821,1000,8.127767
-86.853564,740,8.192151
-838.078801,1000,8.279963
-553.582752,1000,8.627692
-632.631477,1000,8.715816
-413.484066,1000,9.061147
-384.475454,1000,9.148307
-712.117652,1000,9.495887
-420.502018,1000,9.584869
-558.869842,1000,9.931817
-581.404199,1000,10.019437
-202.010099,1000,10.364517
-623.079218,1000,10.452152
-679.217216,1000,10.804331
-785.632287,1000,10.893503
-196.947452,1000,11.242744
-441.678644,1000,11.332127
-415.046821,1000,11.677513
-623.408564,1000,11.765561
-424.145769,1000,12.11254
-460.277499,1000,12.200671
-331.616947,1000,12.543198
-207.723182,1000,12.630899
-751.718479,1000,12.978635
-513.387422,1000,13.066705
-425.099949,1000,13.409881
-360.805402,1000,13.497346
-284.891705,1000,13.841014
-539.094938,1000,13.928305
-624.625926,1000,14.273727
-387.179586,1000,14.361069
-339.3276,1000,14.703598
-202.774757,1000,14.789749
-680.591314,1000,15.130325
-214.998082,1000,15.218907
-420.713928,1000,15.558699
-527.085226,1000,15.649596
-187.168322,1000,16.003428
-242.694112,1000,16.093005
-280.718369,1000,16.445048
-183.331285,1000,16.534843
-154.730736,1000,16.624499
-553.807551,1000,16.976559
-334.408915,1000,17.065225
-185.690097,1000,17.412639
-324.598322,1000,17.501136
-130.648645,1000,17.851142
-522.284006,1000,17.939088
-296.444705,1000,18.292057
-169.729105,1000,18.380598
-181.684878,1000,18.729906
-379.921318,1000,18.81848
-345.576113,1000,19.167486
-245.217462,1000,19.255621
-224.885652,1000,19.610167
-442.757761,1000,19.698695
-152.116357,1000,20.051642
-273.671601,1000,20.139611
-371.541305,1000,20.489462
-177.517946,1000,20.577711
-411.864831,1000,20.92825
-168.514422,1000,21.017332
-242.99877,1000,21.366381
-128.583891,1000,21.453307
-272.30784,1000,21.801555
-233.884842,1000,21.889761
-461.077737,1000,22.234315
-430.04997,1000,22.322069
-228.198173,1000,22.664543
-201.406816,1000,22.75257
-166.755744,1000,23.097251
-145.46419,1000,23.184228
-322.320424,1000,23.531226
-519.96103,1000,23.619787
-520.896404,1000,23.962699
-598.173927,1000,24.049395
-137.320621,1000,24.394881
-217.407864,1000,24.481619
-288.898979,1000,24.826266
-68.316844,441,24.865165
-204.519074,1000,24.952906
-113.225331,1000,25.29396
-188.844718,1000,25.381094
-180.159042,1000,25.72274
-151.877419,1000,25.815457
-129.075715,1000,26.164467
-234.374089,1000,26.253168
-172.131755,1000,26.597768
-298.307475,1000,26.684527
-205.170075,1000,27.029876
-75.412615,406,27.065727
-341.747234,1000,27.153523
-157.611374,1000,27.497492
-156.485037,1000,27.586257
-65.424737,562,27.894012
-155.91508,1000,27.98066
-244.205051,898,28.318866
-149.905192,554,28.367804
-75.776051,665,28.425803
-215.031325,1000,28.769724
-113.340786,1000,28.856686
-79.486987,450,28.896332
-30.493336,479,29.196487
-95.537412,471,29.237965
-115.355387,683,29.297298
-23.018042,299,29.325017
-53.345695,410,29.361972
-135.236878,479,29.661566
-164.023754,614,29.714987
-41.221971,295,29.740654
-26.002222,274,29.765194
-108.271783,956,30.11156
-163.422887,1000,30.198345
-21.059422,242,30.220222
-125.398816,474,30.523631
-161.109876,1000,30.611003
-15.762962,247,30.633308
-113.792935,1000,30.989016
-90.918821,872,31.06585
-146.618038,1000,31.415558
-110.6454,401,31.451331
-93.462116,393,31.485957
-228.395614,1000,31.573945
-20.929782,334,31.865833
-40.086125,490,31.908598
-209.768738,1000,31.996114
-94.235813,782,32.325053
-66.880132,1000,32.412889
-57.017313,407,32.44875
-139.413732,552,32.756523
-73.872377,1000,32.844208
-90.391799,507,32.888417
-74.744781,428,33.185374
-106.052805,491,33.228252
-26.409211,365,33.260123
-66.380715,417,33.296832
-66.582445,418,33.333233
-70.110247,382,33.626274
-107.037584,432,33.664398
-170.675242,759,33.730859
-92.902252,384,33.764766
-59.696352,310,34.049899
-39.524642,330,34.080495
-49.428178,456,34.121859
-45.704057,351,34.152759
-90.051849,553,34.201189
-111.873119,1000,34.546761
-44.849262,356,34.577871
-119.893077,1000,34.923358
-113.319501,606,34.976838
-166.026111,1000,35.063544
-69.917662,622,35.378457
-154.755004,557,35.427903
-107.445705,1000,35.5169
-68.227119,352,35.804915
-43.693931,644,35.864592
-37.026233,405,35.900764
-110.244638,447,35.940215
-47.362864,637,36.258682
-63.499177,328,36.287609
-211.535024,632,36.342808
-154.599047,457,36.3835
-28.046062,343,36.413775
-18.825486,373,36.70781
-50.542418,608,36.762253
-38.903284,330,36.791496
-43.703724,509,36.836335
-61.38372,377,37.126535
-83.212394,488,37.16897
-32.382036,307,37.195377
-157.745333,1000,37.281575
-103.279018,407,37.574934
-41.027868,282,37.600247
-87.404889,400,37.635753
-143.62009,409,37.672024
-59.060301,697,37.733358
-119.602153,1000,38.079936
