#{"t_start": 1777036785.493741, "env_id": "None"}
r,l,t
-821.694857,1000,0.615623
-315.786257,1000,0.705086
-294.493812,1000,1.109412
-333.546563,1000,1.200825
-877.318988,1000,1.547559
-669.936138,1000,1.637854
-406.578044,1000,1.989305
-825.081207,1000,2.080096
-633.288679,1000,2.435013
-478.549729,1000,2.525578
-254.275687,1000,2.882465
-457.339367,1000,2.974324
-708.296763,1000,3.326904
-1124.303497,1000,3.417912
-551.287349,1000,3.769544
-531.259786,1000,3.860768
-809.624602,1000,4.212726
-541.263752,1000,4.302586
-422.413644,1000,4.653825
-657.833199,1000,4.745199
-752.822885,1000,5.095829
-216.340466,1000,5.186382
-634.493541,1000,5.537743
-656.095167,1000,5.629547
-773.269049,1000,5.980488
-530.602443,1000,6.070972
-742.497751,1000,6.4191
-821.535917,1000,6.50963
-808.655756,1000,6.862429
-683.151796,1000,6.952992
-785.839685,1000,7.298283
-346.702105,1000,7.388174
-889.04638,1000,7.729722
-322.739995,1000,7.818739
-477.96582,1000,8.160363
-153.964307,1000,8.24973
-558.522997,1000,8.602442
-566.103275,1000,8.694004
-896.39223,1000,9.050335
-512.147827,1000,9.141869
-952.298313,1000,9.489164
-446.686746,1000,9.58017
-557.843741,1000,9.670702
-882.679095,1000,10.013187
-287.387164,1000,10.103533
-848.696469,1000,10.44917
-439.596337,1000,10.539785
-516.040415,1000,10.882823
-309.688524,1000,10.973692
-496.191278,1000,11.317636
-630.269492,1000,11.427222
-414.399524,1000,11.769032
-461.630309,1000,11.86519
-265.796272,1000,12.211188
-556.322255,1000,12.301743
-794.787471,1000,12.645268
-870.236618,1000,12.734545
-650.773323,1000,13.078957
-293.046251,1000,13.169201
-512.972024,1000,13.51507
-319.928082,1000,13.604608
-369.501582,1000,13.974208
-584.145691,1000,14.070661
-451.646888,1000,14.421544
-270.08878,1000,14.51279
-196.628196,1000,14.858004
-359.898098,1000,14.947811
-537.917612,1000,15.29615
-261.091536,1000,15.388183
-128.826851,411,15.425063
-547.377098,1000,15.775684
-889.964685,1000,15.870337
-385.935934,1000,16.236194
-441.253346,1000,16.327606
-363.108004,1000,16.678233
-340.596558,1000,16.768042
-290.171341,1000,17.113843
-866.974211,1000,17.206839
-833.526124,1000,17.562958
-585.523127,1000,17.654481
-782.815232,1000,18.005606
-765.63312,1000,18.098901
-461.071743,1000,18.45148
-212.680999,1000,18.542016
-428.095032,1000,18.886782
-408.05931,1000,18.977302
-175.262297,1000,19.326397
-259.879005,1000,19.418732
-283.711861,1000,19.762795
-210.837932,1000,19.854263
-245.071982,875,20.186119
-178.430949,1000,20.277827
-275.940412,1000,20.657354
-731.931202,1000,20.750354
-327.66037,1000,21.110041
-200.248634,1000,21.201071
-285.654482,1000,21.548613
-269.440051,1000,21.638999
-254.27776,1000,21.72946
-194.331779,1000,22.082638
-248.760536,1000,22.173394
-163.438674,1000,22.519113
-321.87769,1000,22.609496
-242.123451,1000,22.952213
-209.171183,1000,23.042412
-209.129698,1000,23.395658
-170.308743,1000,23.491408
-381.978196,1000,23.843256
-71.798889,396,23.879113
-178.137195,846,23.95576
-224.143135,1000,24.315008
-213.371093,1000,24.409356
-245.930906,1000,24.75993
-125.857994,1000,24.850333
5.45502,34,24.853511
-215.74987,1000,25.200986
-236.169874,1000,25.290983
-177.783047,1000,25.638474
-98.707458,335,25.66924
-218.120124,1000,26.018126
-56.139167,299,26.045456
-163.404674,1000,26.135342
-122.091507,1000,26.489808
-168.006461,1000,26.579692
-50.989425,403,26.615924
-123.682635,1000,26.961709
-137.976971,1000,27.052048
-281.774837,1000,27.399934
-93.730836,542,27.452145
-164.666175,1000,27.80582
-69.314437,583,27.858343
-28.246461,178,27.874284
-176.030594,1000,27.966671
-205.611475,1000,28.315367
-74.966745,393,28.353251
-243.826575,1000,28.699154
-168.6744,1000,28.794655
-143.837826,1000,29.137547
-17.486996,288,29.166253
-154.517245,1000,29.259895
-101.777796,458,29.302123
-69.238159,352,29.59095
-29.431323,165,29.606043
-139.880549,1000,29.699594
-31.095266,475,29.746391
-27.027799,279,30.027507
-40.488829,388,30.06308
-18.335388,279,30.088781
-99.644339,1000,30.178119
-192.331126,1000,30.549299
-182.398861,1000,30.63924
-131.764585,879,30.972572
-14.75078,169,30.987911
-115.26318,1000,31.082028
-146.922077,810,31.428359
-55.871006,436,31.467134
-146.444675,1000,31.557995
-102.362773,1000,31.900532
-34.877953,308,31.928761
-32.606778,220,31.948636
-142.693981,1000,32.294042
-57.338787,335,32.324335
-64.282345,208,32.343083
-123.261799,1000,32.43338
-44.033806,353,32.718489
-94.951496,1000,32.808252
-18.323743,210,32.827285
-66.409165,398,32.862793
-31.155874,262,33.149106
-62.601091,319,33.180857
-94.176915,1000,33.275878
-34.838266,312,33.306155
-59.88562,255,33.331639
-44.77747,260,33.61233
-59.53515,376,33.648275
-7.770064,124,33.659718
-59.00703,804,33.736615
-65.103008,360,33.768874
-145.402205,1000,34.115811
-86.101583,624,34.171782
-1.947868,127,34.183076
-52.455094,215,34.202069
-79.990876,1000,34.553255
-25.955882,158,34.567666
-19.650433,314,34.595689
-139.277709,1000,34.94504
-71.415793,415,34.984832
-146.508753,1000,35.074775
-111.819189,1000,35.426473
-107.637721,1000,35.516061
-142.270585,1000,35.863918
5.145712,33,35.867008
-7.099203,174,35.882552
-20.38698,171,35.897698
-101.323968,1000,35.988537
-22.902957,192,36.006655
1.909073,64,36.272473
-182.970952,1000,36.362535
-141.79047,1000,36.452307
-23.225829,179,36.726677
-97.061664,1000,36.816044
-40.221725,307,36.844272
-91.424244,813,37.175265
-125.75085,1000,37.264579
-32.842613,214,37.284382
-38.08179,157,37.298865
2.664434,47,37.303226
-109.65591,1000,37.652592
-140.691725,1000,37.741764
-102.520409,485,38.066234
-83.688773,1000,38.155594
-187.591841,1000,38.244948
-78.682401,1000,38.589983
-144.883605,1000,38.681174
-103.685112,1000,39.02762
-100.947399,1000,39.116645
-158.603596,1000,39.466622
-32.544968,302,39.494094
-116.479117,1000,39.844379
-71.445699,551,39.894564
-22.078478,200,39.912626
-146.340195,1000,40.002787
-105.073465,1000,40.3475
-22.343747,296,40.373903
-79.581925,476,40.417374
-31.065632,322,40.446366
-21.751497,217,40.722002
-12.404416,289,40.748113
-35.044867,279,40.773617
-27.356973,178,40.789876
-87.344302,1000,40.880939
-52.117344,512,41.183171
-37.505934,219,41.202909
-94.873854,1000,41.301375
-137.616622,1000,41.649
-94.298022,1000,41.739027
-48.634881,348,41.770781
-115.331657,1000,42.13495
-27.018211,172,42.150716
4.571817,44,42.15475
-115.409982,756,42.223354
-31.506294,212,42.242192
-77.790653,451,42.533684
-90.081046,1000,42.623232
-62.23543,294,42.649696
-86.753276,363,42.682284
-3.041672,119,42.949702
1.297146,86,42.957594
-1.152965,88,42.965587
-132.765402,1000,43.054303
-137.004324,1000,43.402493
-129.270848,1000,43.501311
-50.74382,771,43.574068
-149.335676,494,43.872567
-11.344052,101,43.881642
-62.866735,394,43.916442
-38.889698,226,43.936343
-32.263172,238,43.957264
-20.166529,221,43.976663
-31.081662,230,43.997502
-39.600552,164,44.012861
-145.753266,1000,44.369127
-4.141623,92,44.378964
-44.319545,387,44.414619
-110.998742,407,44.451432
-112.953599,411,44.74957
1.100409,83,44.757413
-66.681412,273,44.7825
-160.870504,1000,44.874343
-34.75327,641,45.199072
-137.336269,1000,45.290106
-79.974487,1000,45.633506
-1.097226,51,45.63823
-102.989227,458,45.678926
5.602935,36,45.682165
-9.928244,163,45.696579
-11.686721,226,45.716484
-40.374103,354,45.748098
-110.95893,1000,46.097894
-86.64682,1000,46.186527
-65.856662,293,46.212714
-22.025186,154,46.226217
-5.14542,75,46.232785
-112.077711,1000,46.579706
-42.754872,215,46.598744
-124.827749,1000,46.943116
-16.646931,131,46.955114
-13.260402,276,46.979323
-88.148348,1000,47.066276
-28.339884,148,47.079882
-23.254592,294,47.1061
-2.591989,114,47.116504
-134.68444,1000,47.464678
-65.455824,264,47.488061
-0.449404,107,47.497949
-97.327488,524,47.54472
-65.05413,1000,47.890483
-8.82434,149,47.903533
-2.994604,92,47.911498
-3.831308,67,47.91737
-16.697284,300,47.94419
-58.175662,323,47.973351
-103.423817,1000,48.322161
-23.307331,115,48.332463
6.06763,35,48.335807
-95.117666,1000,48.423082
-79.239508,1000,48.770204
-49.244117,453,48.809821
-32.283822,197,48.827636
-15.629422,250,48.849395
-81.640974,1000,49.191796
-37.068189,143,49.204646
-29.323933,184,49.221115
-31.149507,184,49.237618
-74.589161,1000,49.587441
-4.225322,82,49.595118
1.471263,82,49.60302
-74.608806,1000,49.689279
-64.171585,319,49.716571
-71.712944,1000,50.073152
-125.208897,1000,50.162979
-110.15481,1000,50.512106
-130.865153,1000,50.603851
-39.094396,195,50.621609
-33.402227,504,50.923208
-113.694058,1000,51.036625
-55.681328,308,51.070542
-122.606053,1000,51.423332
-36.194464,282,51.449322
-60.797041,434,51.488588
-56.231779,1000,51.838058
-22.899064,267,51.862462
-78.518228,443,51.902341
-98.515147,1000,51.990283
-22.861026,291,52.016664
-99.916829,1000,52.360825
-27.422932,118,52.371384
-22.917281,201,52.389536
-120.254108,1000,52.732757
-57.375798,263,52.759486
-97.263314,573,52.814138
-7.482048,151,52.828524
0.068831,130,52.841617
-86.306041,1000,53.202045
-61.274221,618,53.260029
-11.896906,116,53.271105
-49.229376,425,53.308831
-36.248446,219,53.328082
-56.24259,635,53.634817
-19.70729,340,53.665357
-17.995164,142,53.678186
-23.969571,242,53.699817
-110.605619,1000,53.788122
-41.166638,205,54.066295
-12.669379,156,54.081839
-105.636791,1000,54.176845
-52.554856,260,54.201
-21.303243,228,54.222944
-25.062345,163,54.238342
-10.52577,139,54.520764
-34.708887,186,54.538184
-16.092244,355,54.570728
-24.325247,172,54.586418
-24.27374,465,54.628412
-74.900998,395,54.664948
-11.681277,209,54.683951
-10.712148,186,54.70074
-32.311731,246,54.985397
-167.594137,1000,55.074023
-13.196166,84,55.081686
-35.890809,603,55.134281
-85.343137,476,55.433534
-26.796768,183,55.449815
-81.152138,1000,55.539024
-63.253174,1000,55.890078
-62.354662,305,55.917039
-51.07486,252,55.939243
-14.702399,367,55.971308
-54.352143,539,56.019378
-64.172506,958,56.365816
-13.139457,112,56.375705
-20.696112,165,56.39034
-9.640304,70,56.396863
